,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
0,209.000 ₫,-23%,1138,5000+,4.7,479129,1,0
1,110.000 ₫,-13%,1271,5000+,4.7,479129,1,0
2,39.000 ₫,-48%,521,5000+,4.5,3276,7,0
3,170.000 ₫,-25%,1622,5000+,4.7,479129,1,0
4,638.000 ₫,-24%,350,1566,4.7,479129,1,0
5,69.000 ₫,-42%,614,2687,4.5,3276,8,0
6,16.800 ₫,0,41,606,0.0,0,0,0
7,62.000 ₫,0,9,175,4.7,794,1,0
8,92.000 ₫,-16%,142,851,4.7,581,4,0
9,238.000 ₫,0,89,495,4.7,479129,1,0
10,122.000 ₫,-32%,269,1927,4.8,277,1,0
11,125.000 ₫,0,205,1399,4.7,739,1,4.7
12,362.000 ₫,-10%,1287,5000+,4.8,5222,2,4.8
13,71.000 ₫,-4%,23,201,4.7,479129,1,5
14,86.000 ₫,-22%,352,2040,4.6,3379,2,4.7
15,149.000 ₫,0,246,1592,0.0,0,0,4.7
16,25.000 ₫,0,384,5000+,0.0,0,0,0
17,362.000 ₫,-10%,261,1206,4.8,5222,2,4.9
18,109.000 ₫,-27%,53,531,4.7,543,5,4.9
19,164.500 ₫,0,0,5,4.7,645,4,0
20,23.750 ₫,-5%,88,755,4.5,400,3,4.2
21,139.000 ₫,-41%,357,1447,4.5,3276,8,0
22,22.000 ₫,0,142,1178,4.7,1945,0,4.9
23,66.000 ₫,0,0,4,4.2,479,2,0
24,90.000 ₫,-3%,121,987,4.7,479129,1,4.9
25,157.000 ₫,-13%,13,73,4.7,479129,1,4.8
26,117.000 ₫,-8%,375,4041,4.7,479129,1,4.9
27,74.000 ₫,-5%,509,5000+,4.7,479129,1,4.8
28,18.000 ₫,-22%,63,3687,4.7,110,2,0
29,16.800 ₫,0,27,492,4.6,362,0,4.8
30,90.100 ₫,-3%,204,1150,4.7,479129,1,4.8
31,372.000 ₫,-5%,121,560,4.8,5222,2,4.9
32,95.000 ₫,-4%,74,535,4.4,1024,4,4.3
33,36.996 ₫,0,86,997,4.0,214,0,4.4
34,195.000 ₫,-43%,14,103,4.7,543,5,4.7
35,52.000 ₫,0,56,631,4.2,479,2,4.2
36,109.000 ₫,-27%,57,586,4.7,543,5,4.9
37,213.000 ₫,-21%,26,190,4.7,479129,1,4.9
38,801.900 ₫,-1%,0,6,4.5,1331,4,0
39,115.000 ₫,0,52,494,4.7,1228,1,4.5
40,90.100 ₫,-3%,138,1132,4.7,479129,1,4.9
41,45.000 ₫,-49%,292,2547,4.6,3379,2,4.7
42,155.000 ₫,-14%,34,206,4.7,110,3,4.8
43,47.800 ₫,-20%,24,174,4.4,273,1,4.1
44,6.500 ₫,0,70,2265,4.5,569,0,4.4
45,135.000 ₫,0,2,40,4.5,18,1,4.5
46,75.000 ₫,0,177,1573,4.4,333,2,0
47,208.000 ₫,-17%,2691,5000+,4.7,479129,1,4.8
48,196.000 ₫,0,10,71,4.6,698,2,4.1
49,195.000 ₫,0,49,192,4.6,318,1,4.8
50,48.000 ₫,0,5,83,4.2,2867,2,4.6
51,79.000 ₫,-17%,48,265,4.6,71,9,0
52,9.405 ₫,0,149,1946,4.7,1945,0,4.7
53,45.000 ₫,-49%,116,788,4.6,3379,2,4.7
54,300.009 ₫,-50%,315,1564,4.7,645,4,4.7
55,71.000 ₫,-7%,197,1578,4.7,479129,1,4.9
56,60.000 ₫,0,13,123,4.7,794,1,4.6
57,168.000 ₫,-23%,147,1020,4.7,479129,1,4.9
58,150.000 ₫,-17%,174,923,4.5,58,2,0
59,139.000 ₫,-34%,9,9,4.5,2,5,0
60,29.000 ₫,-28%,58,822,4.7,479129,0,4.9
61,45.500 ₫,-20%,2,8,4.4,273,1,4
62,124.998 ₫,-38%,1,2,4.5,17,3,5
63,92.000 ₫,-7%,1,3,4.2,479,2,5
64,40.000 ₫,0,19,110,4.3,3584,1,4.8
65,347.992 ₫,0,0,2,4.7,645,4,0
66,159.999 ₫,0,17,74,4.3,259,2,4.9
67,158.000 ₫,-21%,25,258,4.7,1638,1,4.8
68,99.000 ₫,-23%,9,9,4.5,2,5,5
69,48.000 ₫,0,21,283,4.7,794,1,4
70,149.000 ₫,-24%,9,9,4.5,2,5,0
71,99.000 ₫,-21%,9,9,4.5,2,5,5
72,143.750 ₫,-16%,9,64,4.5,206,2,3.7
73,38.998 ₫,0,0,4,4.2,2867,1,0
74,219.000 ₫,-24%,11,60,4.7,543,5,4.9
75,35.000 ₫,-30%,86,765,4.5,632,0,4.5
76,136.000 ₫,-38%,2,19,4.5,17,3,5
77,75.000 ₫,-17%,26,425,4.7,110,3,0
78,104.900 ₫,0,45,315,4.6,153,1,4.9
79,137.500 ₫,0,2,8,4.7,645,4,5
80,75.000 ₫,-40%,50,271,4.5,3276,8,4.6
81,134.000 ₫,-11%,264,1212,4.7,53,4,4.7
82,148.000 ₫,-1%,127,1915,4.5,58,2,4.5
83,88.000 ₫,0,376,5000+,4.6,153,1,4.8
84,69.000 ₫,-47%,47,242,4.6,71,9,4.7
85,295.000 ₫,0,112,529,4.7,339,2,4.8
86,199.000 ₫,0,18,75,4.6,698,2,4.6
87,103.000 ₫,0,42,262,4.6,153,1,4.9
88,90.100 ₫,-3%,11,128,4.7,479129,1,5
89,16.900 ₫,-16%,7,8,4.5,400,3,5
90,129.000 ₫,-23%,9,42,0.0,0,0,4.9
91,198.000 ₫,-17%,908,5000+,0.0,0,0,4.8
92,97.999 ₫,0,3,43,0.0,0,0,5
93,156.000 ₫,-22%,33,333,0.0,0,0,4.8
94,181.000 ₫,0,16,86,0.0,0,0,4.9
95,497.091 ₫,0,0,0,0.0,0,0,0
96,105.000 ₫,-20%,24,237,4.8,277,1,4.8
97,67.000 ₫,-32%,111,1132,4.8,277,1,4.6
98,44.000 ₫,-10%,59,699,4.7,581,3,4.4
99,99.000 ₫,0,31,226,4.6,31,2,4.6
100,15.000 ₫,0,0,0,4.2,479,1,0
101,39.000 ₫,0,198,1578,0.0,0,0,4.7
102,145.000 ₫,-24%,20,120,0.0,0,0,4.8
103,125.000 ₫,-4%,11,101,0.0,0,0,4.8
104,139.000 ₫,-18%,74,492,0.0,28,2,0
105,60.000 ₫,-25%,46,438,0.0,0,0,0
106,264.000 ₫,-38%,3,10,4.5,17,3,4.7
107,105.000 ₫,-41%,307,1908,4.9,1433,3,4.8
108,267.999 ₫,-45%,20,125,4.7,88,3,5
109,139.000 ₫,-18%,583,4316,4.6,2252,5,4.6
110,320.000 ₫,0,10,40,4.7,37,1,4.8
111,35.399 ₫,0,0,1,4.2,2867,1,0
112,59.000 ₫,0,0,33,4.2,479,2,0
113,155.220 ₫,-22%,6,18,4.8,2662,2,5
114,152.000 ₫,-11%,16,113,4.4,493,4,0
115,98.000 ₫,-29%,69,442,0.0,0,0,4.8
116,67.000 ₫,0,83,787,0.0,0,0,4.8
117,199.000 ₫,-20%,13,55,4.7,581,4,0
118,64.350 ₫,-1%,9,83,0.0,0,0,3.4
119,87.100 ₫,-7%,6,52,0.0,0,0,0
120,160.000 ₫,0,2,21,4.7,37,1,5
121,280.000 ₫,-38%,0,10,0.0,0,0,0
122,58.999 ₫,0,129,717,4.3,994,4,4.7
123,499.000 ₫,-50%,136,518,4.7,645,5,4.8
124,115.000 ₫,-23%,19,114,4.7,543,5,0
125,11.990 ₫,0,34,1014,4.2,1331,3,0
126,119.000 ₫,-6%,671,4970,4.7,479129,1,0
127,117.500 ₫,0,0,1,4.7,645,4,0
128,70.000 ₫,0,15,144,4.5,6,1,4.5
129,372.982 ₫,0,0,3,4.7,645,4,0
130,22.000 ₫,-31%,95,1692,4.7,581,3,4.3
131,54.000 ₫,0,60,761,4.0,214,1,4.3
132,44.000 ₫,-10%,51,476,4.7,581,3,4.7
133,22.000 ₫,0,1,53,3.9,76,0,4
134,30.500 ₫,0,10,43,4.4,741,0,5
135,99.750 ₫,-5%,5,9,4.5,400,4,5
136,54.000 ₫,0,89,597,4.8,408,1,4.7
137,98.000 ₫,0,8,27,4.3,259,1,4.5
138,380.000 ₫,-24%,93,470,4.8,291,2,4.8
139,15.000 ₫,0,0,4,4.2,479,1,0
140,99.000 ₫,-46%,33,147,0.0,0,0,4.5
141,29.000 ₫,0,76,1210,4.8,408,0,4.8
142,287.500 ₫,0,0,0,4.7,645,4,0
143,396.000 ₫,0,3,2,4.7,645,4,0
144,115.000 ₫,-23%,15,107,4.7,543,5,4.4
145,105.000 ₫,0,1,2,0.0,0,0,4
146,59.000 ₫,0,15,173,4.3,851,4,4.6
147,180.000 ₫,0,26,197,4.4,2,1,4.5
148,697.998 ₫,-45%,0,2,4.7,88,3,0
149,185.000 ₫,0,11,103,4.5,1740,1,4.7
150,459.981 ₫,0,20,92,4.6,216,1,4.8
151,119.000 ₫,-30%,6,25,4.7,543,5,4.7
152,153.000 ₫,0,0,0,4.7,645,4,0
153,98.000 ₫,-42%,10,42,4.5,172,2,4.3
154,40.000 ₫,0,21,180,4.6,1228,3,4.5
155,199.000 ₫,0,106,634,4.7,1638,1,4.9
156,120.000 ₫,-20%,40,224,4.7,581,4,4.9
157,145.000 ₫,0,32,178,4.7,416,1,4.7
158,158.000 ₫,-21%,79,368,4.8,291,2,4.9
159,96.900 ₫,0,53,548,4.4,17,1,4.5
160,46.000 ₫,-16%,49,423,4.7,581,4,4.6
161,44.000 ₫,-10%,90,1649,4.7,581,3,4.5
162,40.000 ₫,0,32,355,4.2,1331,3,4.2
163,86.000 ₫,-39%,9,283,0.0,0,0,5
164,349.000 ₫,-5%,8,50,4.9,522,3,0
165,157.000 ₫,-13%,13,73,4.7,479129,1,4.8
166,110.000 ₫,0,59,388,4.5,1740,3,0
167,585.501 ₫,0,0,0,4.7,645,4,0
168,226.000 ₫,-3%,6,56,4.7,479129,1,4.8
169,87.000 ₫,0,12,134,4.5,182,1,4.8
170,314.291 ₫,0,143,627,4.7,645,4,0
171,800.000 ₫,0,1,19,4.6,333,2,5
172,48.500 ₫,0,2,30,3.8,11,1,4.5
173,78.000 ₫,-29%,17,209,4.7,135,1,4.6
174,88.000 ₫,-20%,31,275,4.7,581,4,5
175,79.000 ₫,-46%,54,368,4.5,3276,8,4.6
176,339.000 ₫,-50%,75,307,4.7,645,4,4.7
177,129.888 ₫,-42%,0,3,4.5,17,3,0
178,58.000 ₫,-6%,143,912,4.4,1024,4,0
179,19.000 ₫,0,32,224,4.6,362,0,4.8
180,29.000 ₫,-42%,7,61,4.7,543,4,4.9
181,49.000 ₫,-11%,4,6,4.5,400,4,5
182,145.000 ₫,0,19,93,4.7,1945,1,4.8
183,240.000 ₫,0,5,6,4.7,725,6,5
184,153.000 ₫,-15%,4,32,4.6,19,2,5
185,25.000 ₫,0,11,106,4.6,318,0,4.9
186,125.000 ₫,-1%,11,191,4.7,1536,2,4.3
187,234.000 ₫,0,34,183,4.6,649,12,4.9
188,128.000 ₫,-19%,80,664,4.7,581,4,4.7
189,86.500 ₫,0,97,1573,4.6,368,1,4.6
190,2.970 ₫,-1%,56,1674,4.6,21,0,4.7
191,139.000 ₫,-40%,32,116,4.7,335,3,4.5
192,106.000 ₫,-7%,5,65,4.7,479129,1,5
193,41.580 ₫,-1%,24,95,4.6,21,0,4.7
194,116.000 ₫,0,17,122,4.7,51,1,4.7
195,139.900 ₫,-33%,51,296,4.6,81,1,4.3
196,119.000 ₫,-37%,14,72,4.5,172,2,3.7
197,14.850 ₫,-1%,9,104,4.6,21,0,4.9
198,42.000 ₫,-14%,23,155,4.7,581,3,4.6
199,108.000 ₫,0,60,328,4.7,1638,1,4.8
200,52.250 ₫,-5%,68,416,4.5,4710,2,4.1
201,10.000 ₫,-44%,4,139,4.5,172,1,5
202,239.000 ₫,0,0,3,4.7,645,4,0
203,302.000 ₫,-18%,6,53,4.9,522,3,5
204,99.999 ₫,0,9,54,4.0,236,4,3.1
205,86.500 ₫,0,121,4129,4.6,368,1,4.5
206,179.000 ₫,-19%,9,43,4.7,543,5,5
207,16.000 ₫,0,4,68,4.2,1331,3,4
208,82.000 ₫,-16%,64,369,4.7,479129,1,4.7
209,109.000 ₫,0,54,333,4.9,21,1,4.9
210,40.000 ₫,0,6,51,4.6,31,1,4.2
211,69.000 ₫,0,14,173,4.6,12,3,4.7
212,144.951 ₫,0,45,400,4.1,23,1,3.8
213,182.000 ₫,0,13,71,4.7,1433,3,5
214,38.500 ₫,0,7,47,4.6,153,0,5
215,219.000 ₫,-44%,7,20,4.7,543,5,4.4
216,55.000 ₫,-44%,11,81,4.2,479,2,4.8
217,129.000 ₫,-28%,82,387,4.7,532,1,4.9
218,289.000 ₫,-28%,39,150,4.4,1638,5,4.9
219,244.000 ₫,-38%,0,5,4.5,17,3,0
220,79.000 ₫,0,6,57,4.7,1945,1,4.8
221,497.000 ₫,0,0,2,4.7,645,4,0
222,69.900 ₫,0,4,49,4.2,1,1,4.3
223,268.998 ₫,-45%,1,11,4.7,88,3,5
224,180.000 ₫,0,114,584,4.7,416,1,0
225,249.000 ₫,-4%,105,446,4.8,5222,2,4.8
226,61.000 ₫,0,40,320,4.8,408,1,4.8
227,12.200 ₫,0,12,604,4.8,616,1,4.7
228,60.000 ₫,0,6,36,3.9,22,1,4.3
229,90.000 ₫,-14%,49,435,0.0,0,0,4.8
230,32.000 ₫,0,9,65,0.0,0,0,4.1
231,49.000 ₫,0,261,1662,4.8,408,1,4.8
232,120.000 ₫,0,17,122,4.6,216,1,4.1
233,140.580 ₫,-1%,9,34,3.9,8,1,4.1
234,120.673 ₫,0,89,435,0.0,0,0,0
235,155.000 ₫,0,0,4,0.0,0,0,0
236,779.000 ₫,0,169,938,4.6,597,1,4.7
237,175.000 ₫,-12%,7,58,0.0,0,0,0
238,79.000 ₫,0,9,58,0.0,0,0,0
239,89.000 ₫,-18%,15,95,4.6,2252,5,4.4
240,715.000 ₫,-11%,127,630,4.8,2048,3,4.8
241,108.000 ₫,-5%,5,24,4.7,479129,1,5
242,129.000 ₫,0,5,19,0.0,0,0,0
243,89.000 ₫,-48%,19,129,4.5,172,2,4.1
244,238.000 ₫,0,14,54,4.4,1740,4,4.3
245,33.000 ₫,-40%,34,539,4.5,172,1,4.5
246,178.480 ₫,-3%,66,495,4.5,1331,3,4.6
247,139.000 ₫,-28%,70,386,4.8,144,2,4.8
248,14.190 ₫,0,0,49,4.2,1331,3,0
249,249.000 ₫,-4%,6,27,4.8,5222,2,4.8
250,225.000 ₫,0,1,1,4.7,645,4,0
251,48.000 ₫,-4%,8,112,4.9,522,3,0
252,19.000 ₫,0,25,135,4.3,55,0,4.4
253,59.000 ₫,0,3,20,4.7,725,8,5
254,158.000 ₫,-21%,19,142,4.8,277,1,4.9
255,429.000 ₫,0,0,203,4.7,645,5,0
256,105.600 ₫,0,5,33,4.7,479129,1,5
257,158.000 ₫,-21%,9,108,4.7,1638,1,5
258,24.750 ₫,0,11,84,4.5,173,0,4.3
259,83.000 ₫,-48%,95,249,5.0,88,1,0
260,30.900 ₫,0,89,795,4.4,2150,0,4.5
261,399.000 ₫,-50%,3,15,4.7,645,4,4.7
262,44.000 ₫,0,0,7,4.7,339,1,0
263,13.500 ₫,0,17,221,4.5,182,0,4.9
264,99.000 ₫,-20%,4,9,4.6,30,2,4.5
265,31.500 ₫,0,9,55,4.4,741,0,4.8
266,39.999 ₫,0,0,0,4.1,88,0,0
267,13.400 ₫,0,38,606,4.2,1331,3,0
268,39.000 ₫,-25%,6,117,4.7,1536,1,4.8
269,75.000 ₫,0,50,595,4.4,493,4,0
270,82.000 ₫,-22%,10,83,4.4,493,4,4.9
271,29.000 ₫,0,12,193,4.2,1331,3,4.4
272,158.000 ₫,-21%,40,377,4.7,1638,1,4.9
273,29.000 ₫,0,0,0,2.8,0,0,0
274,171.000 ₫,-1%,76,495,4.7,31,1,0
275,10.898 ₫,0,1,1,4.2,2867,1,4
276,454.666 ₫,-45%,0,4,4.7,88,3,0
277,118.000 ₫,0,87,547,4.7,645,4,4.8
278,19.943 ₫,0,0,0,3.5,124,0,0
279,19.500 ₫,0,4,133,4.6,11,0,5
280,128.000 ₫,-43%,49,438,4.3,55,2,4.5
281,40.000 ₫,0,2,44,4.4,29,0,4.5
282,87.000 ₫,-2%,5,22,4.4,6,1,4.6
283,240.000 ₫,0,4,20,4.7,725,6,5
284,78.000 ₫,0,20,126,4.6,318,1,4.4
285,259.000 ₫,-50%,0,1,4.7,645,4,0
286,150.000 ₫,-40%,9,46,4.7,543,5,4.6
287,360.000 ₫,0,90,765,4.7,1536,2,4.8
288,105.000 ₫,0,28,118,4.6,318,1,4.4
289,38.000 ₫,0,4,16,4.2,1331,3,4.3
290,39.449 ₫,0,0,1,4.2,2867,1,0
291,59.000 ₫,0,6,46,4.9,4,1,5
292,141.000 ₫,0,0,9,4.2,479,2,0
293,120.000 ₫,0,38,316,4.5,1740,3,3.7
294,0,0,0,0,0.0,0,0,0
295,127.000 ₫,0,1,4,4.4,794,1,5
296,109.000 ₫,-9%,1,6,4.9,158,1,5
297,360.000 ₫,-25%,197,1134,4.7,1536,2,4.7
298,78.000 ₫,-11%,19,190,4.7,2867,2,5
299,29.000 ₫,0,4,47,4.2,1331,3,4.3
300,30.000 ₫,0,3,94,4.7,2,0,5
301,159.000 ₫,0,3,9,4.7,1945,1,0
302,24.650 ₫,-15%,6,24,4.4,498,0,0
303,180.000 ₫,-10%,55,589,4.5,58,2,4.3
304,33.000 ₫,0,1,27,4.7,794,0,5
305,49.899 ₫,0,0,1,3.6,11,1,0
306,120.000 ₫,-27%,31,143,4.5,3276,8,4.8
307,268.500 ₫,0,0,3,4.6,1228,4,0
308,35.000 ₫,0,6,79,4.2,2867,1,3.8
309,108.000 ₫,0,71,565,4.7,1638,1,4.7
310,42.000 ₫,0,5,15,4.2,1331,3,4.6
311,39.999 ₫,0,25,655,4.5,1740,0,4.2
312,18.500 ₫,-38%,8,341,4.7,110,2,4.9
313,184.000 ₫,-20%,11,52,4.7,1536,2,4.6
314,30.000 ₫,0,4,21,4.5,6,0,4.5
315,49.000 ₫,0,4,42,4.7,1945,1,5
